trait,Ip_ci_lower,Ip_ci,Ip_ci_upper,I2_ci_lower,I2_ci,I2_ci_upper,I1_ci_lower,I1_ci,I1_ci_upper
arthrosis,0.5590785711209,1.7363946437413134,5.392920627897788,0.2732335984553189,0.5505798491957082,1.1094469057030705,-0.0006857936759847816,-0.00010156250000000001,0.0004826686759847816
asthma,0.017530854628028322,0.09027477325003834,0.46486807735638647,0.019405809822011292,0.049536107255327394,0.12644800420686467,-0.0003904225062458629,-3.5156250000000004e-05,0.00032011000624586295
bc,0.026772063203681203,0.07587993551228157,0.2150661519638243,0.016251362633216096,0.03172248403594027,0.06192194563141923,-0.00043027465369198473,-0.00025,-6.972534630801528e-05
bmi,7.624175352536044,10.789661315187933,15.269427303733126,0.682228765381233,0.8262088521032842,1.0005750298616833,-0.00044903680186971916,-0.00022460937499999998,-1.8194813028077936e-07
cad,0.06750642996536829,0.2757885121533922,1.126697167585387,0.025251280600476943,0.04994996131938438,0.09880681599019063,-0.0004159897601796815,-0.00012890625,0.00015817726017968147
dbp,4.561170970947379,7.3071011162317365,11.706144554310569,1.2381890082596216,1.5247657391918914,1.8776701649784884,-3.439572643632933e-05,0.0003125,0.0006593957264363294
diverticulitis,0.09052973851621939,0.3357194960343773,1.244978521586953,0.04647208353032923,0.0997081064668543,0.21392857259600295,-0.00033213945443466987,-1.953125e-06,0.00032823320443466986
fvc,6.667836685498866,9.189275031730718,12.66419373954296,1.1443188325431535,1.7177538772999912,2.5785456806836917,-0.0004730778561806174,-0.00015820312499999998,0.00015667160618061747
gallstones,0.00345583499806386,0.024825468945667954,0.1783371916534238,0.002487557532848315,0.007628196556020672,0.023392175629665668,-0.0004016000991581507,-0.00014257812500000002,0.00011644384915815068
glaucoma,0.0019343347662904842,0.02423392883010655,0.3036099628550415,0.003660091451673013,0.01673903697759467,0.07655419615518229,-0.0005590256698166443,-0.000232421875,9.418191981664439e-05
grip_strength,12.634044830563935,23.1122791054545,42.28079388765198,3.878283218776161,5.447916828767727,7.652818553704395,0.0006767131651863398,0.0016347656250000002,0.0025928180848136606
hdl,1.0187100632343704,1.4582862249262527,2.087540695394508,0.05803757545377577,0.0947403607693772,0.1546538753304831,-2.068761666517544e-05,0.0001162109375,0.00025310949166517543
height,2.2476078715466947,2.6287602347104015,3.0745489278070983,0.23441951189594315,0.24704350336410483,0.2603473237394223,-5.7478427745579104e-05,3.22265625e-05,0.00012193155274557911
hypothyroidism,0.0023423654345505833,0.012967068255593402,0.07178421294347659,0.002253569014363712,0.008158702434302957,0.029537336104301766,-0.0003929881823546001,-0.00021484375000000003,-3.6699317645399955e-05
ibd,0.0017175301357186688,0.00938979801047701,0.05133435789216332,0.0023310419109456196,0.006089341245291701,0.015907082848874488,-0.00012345551321835447,2.9296875e-05,0.00018204926321835447
ldl,0.30527859968059884,0.4963924819369051,0.8071495885439897,0.014748992412369412,0.02259964215294614,0.03462906557690538,8.689684078984353e-05,0.00022656249999999998,0.00036622815921015647
malignant_neoplasms,0.041737332896319805,0.21031777400281618,1.0598081619489383,0.049490354685859585,0.11893042442624313,0.28580207080729797,-0.0011048494625636265,-0.0006406249999999999,-0.00017640053743637324
pulse_rate,1.1598923325173554,1.8081171375416756,2.8186129793413253,0.34395987038125075,0.44829355998392534,0.5842748914293578,-0.0003348333343358306,-0.00011132812499999999,0.00011217708433583064
rbc,1.268378630551073,1.7944471170775682,2.5387060128795955,0.3019483710696108,0.4099164174745408,0.5564907295904048,-0.00026488577717356836,-8.3984375e-05,9.691702717356838e-05
sbp,3.8838467997824835,5.516331928310502,7.834994404259742,0.9998444772909053,1.2117092897895236,1.46846778305007,1.781884484604505e-05,0.000248046875,0.00047827490515395493
scz,30.507494299866245,46.47419908346977,70.79739683699464,0.13527405252089603,0.2317603096779238,0.39706684423984423,-0.0004565668802222233,-0.00017578125,0.0001050043802222233
t2d,0.04975012222357563,0.12786105432608988,0.3286112371726413,0.01564864574609778,0.03218954542870868,0.06621447323422754,-0.00010491697039050369,9.66796875e-05,0.00029827634539050373
triglycerides,0.9764207995600778,1.5368132411793267,2.4188289918938684,0.08477102855244616,0.11197500583558206,0.1479090456490259,-0.0001498573750281272,1.171875e-05,0.0001732948750281272
urate,1.1648386945496583,1.8939484935172788,3.079431437915244,0.06664192669250338,0.0880890395856285,0.11643839366954131,-0.00011740932963338236,7.8125e-05,0.0002736593296333824
uterine_fibroids,0.007563519585660322,0.05848453154781794,0.4522286736524788,0.010124099105865533,0.024318540119653363,0.05841422405758155,-0.00044115073235788686,-0.0001552734375,0.00013060385735788683
varicose_veins,0.04284461774066965,0.12951041275724665,0.39148317564824286,0.024195463321122282,0.05056017794346738,0.10565334334571082,-0.00024819998489563136,-2.34375e-05,0.00020132498489563134
wbc,1.2976618871669743,2.0360529234616656,3.194600649162303,0.4431844389780544,0.6255889406056367,0.8830669314801063,-0.00020444884657172822,5.46875e-05,0.0003138238465717282
